index,strat,end,trig,duration
GRB150831B,-0.312,5.864,653978,6.176
GRB150831A,0.02,0.94,653838,0.9199999999999999
GRB150821A,27.512,196.456,652847,168.944
GRB150819A,17.144,68.808,652643,51.66400000000001
GRB150818A,-9.324,133.732,652603,143.056
GRB150817A,-5.82,32.176,652334,37.996
GRB150811A,4.632,36.152,651882,31.520000000000003
GRB150801B,0.244,408.952,650977,408.70799999999997
GRB150728A,0.304,1.136,650617,0.8319999999999999
GRB150727A,-4.52,83.436,650530,87.956
GRB150724A,1.236,281.244,650141,280.00800000000004
GRB150722A,-24.072,43.24,649916,67.312
GRB150720A,-122.344,116.192,649706,238.536
GRB150716A,-2.332,40.236,649157,42.568
GRB150711A,-27.96,42.996,648601,70.956
GRB150710A,0.016,0.168,648437,0.15200000000000002
GRB150626B,-15.56,32.44,646786,48.0
GRB150626A,-4.976,92.288,646603,97.264
GRB150616A,-30.472,577.936,644259,608.408
GRB150615A,-1.956,30.728,643833,32.684000000000005
GRB150607A,0.2,26.188,642620,25.988
GRB150530B,0.0,3.0,00084922008,3.0
GRB150530A,-3.952,2.944,642018,6.896
GRB150527A,-106.816,1.984,641698,108.8
GRB150513A,-42.524,119.04,640584,161.56400000000002
GRB150430A,-8.024,98.856,639433,106.88
GRB150428B,-34.468,96.48,639278,130.948
GRB150428A,-20.456,32.744,639275,53.2
GRB150423A,0.012,0.228,638808,0.216
GRB150413A,-55.36,188.236,637899,243.596
GRB150403A,-7.66,29.636,637044,37.296
GRB150402A,0.0,14.4,00636865000,14.4
GRB150323C,-21.08,138.584,636005,159.664
GRB150323B,3.2,62.4,635929,59.199999999999996
GRB150323A,3.396,153.124,635887,149.728
GRB150318A,3.036,90.48,635289,87.444
GRB150317A,-0.036,23.248,635148,23.284000000000002
GRB150314A,-1.22,13.56,634795,14.780000000000001
GRB150309A,-191.824,50.216,634200,242.04000000000002
GRB150302A,-0.312,23.56,633237,23.872
GRB150301B,0.152,17.288,633180,17.136
GRB150301A,0.0,0.484,632995,0.484
GRB150222A,1.504,17.34,632180,15.836
GRB150213B,9.0,218.0,631051,209.0
GRB150212A,0.248,15.736,630876,15.488000000000001
GRB150211A,-6.696,6.912,630714,13.608
GRB150206A,37.404,112.404,630019,75.0
GRB150204A,1.0,15.0,00084702002,14.0
GRB150203A,0.396,24.832,629578,24.436
GRB150202A,-0.768,24.704,629547,25.472
GRB150201A,-2.772,23.82,629302,26.592
GRB150120B,-15.732,8.604,627170,24.336
GRB150120A,-0.312,0.884,627137,1.196
GRB150110B,-7.252,3.328,624606,10.58
GRB150103A,10.6,59.688,623368,49.088
GRB150101B,0.0,0.012,00091964035,0.012
GRB150101A,0.004,0.064,623158,0.06
GRB141229A,0.0,6.4,00085478004,6.4
GRB141225A,6.668,92.816,622476,86.148
